(from),Alistipes_finegoldii_DSM_17242,Alistipes_putredinis_DSM_17216,Alistipes_shahii_WAL_8301,Bifidobacterium_adolescentis_ATCC_15703,Citrobacter_amalonaticus_Y19,Clostridium_clostridioforme_CM201,Coprococcus_catus_GD_7,Dorea_longicatena_DSM_13814,Enterococcus_faecium_TX1330,Escherichia_coli_str_K_12_substr_MG1655,Fusobacterium_varium_ATCC_27725,Helicobacter_pylori_26695,Lactobacillus_mucosae_LM1,Ruminococcus_callidus_ATCC_2776001
Acidaminococcus_fermentans_DSM_20731,1,2,1,2,2,2,0,2,0,2,0,2,1,1
Akkermansia_muciniphila_ATCC_BAA_835,1,0,1,0,0,0,1,0,2,0,2,0,1,1
Alistipes_finegoldii_DSM_17242,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Alistipes_putredinis_DSM_17216,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Alistipes_shahii_WAL_8301,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Bacteroides_caccae_ATCC_43185,1,0,1,0,0,0,0,0,2,0,2,0,1,1
Bacteroides_coprocola_M16_DSM_17136,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Bacteroides_eggerthii_DSM_20697,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Bacteroides_fragilis_NCTC_9343,1,0,1,0,0,0,1,0,2,0,2,0,1,1
Bacteroides_intestinalis_341_DSM_17393,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Bacteroides_stercoris_ATCC_43183,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Bacteroides_thetaiotaomicron_VPI_5482,1,0,1,0,0,0,1,0,2,0,2,0,1,1
Bacteroides_uniformis_ATCC_8492,1,0,1,0,0,0,0,0,2,0,2,0,1,1
Blautia_wexlerae_DSM_19850,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Citrobacter_amalonaticus_Y19,1,0,1,0,0,0,0,0,2,0,2,0,1,1
Clostridium_clostridioforme_CM201,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Collinsella_tanakaei_YIT_12063,1,0,1,0,0,0,1,0,0,0,0,0,1,1
Coprococcus_catus_GD_7,0,2,0,2,2,2,0,2,0,2,0,2,0,1
Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Dialister_invisus_DSM_15470,1,0,1,0,0,0,1,0,0,0,0,0,1,1
Enterobacter_cloacae_EcWSU1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Escherichia_coli_str_K_12_substr_MG1655,1,0,1,0,0,0,0,0,2,0,2,0,1,1
Eubacterium_rectale_M104_1,0,2,0,2,2,2,0,2,2,2,2,2,0,0
Faecalibacterium_prausnitzii_L2_6,0,2,0,2,2,2,0,2,0,2,0,2,0,0
Fusobacterium_varium_ATCC_27725,1,2,1,0,2,2,0,2,0,2,0,2,1,1
Haemophilus_parainfluenzae_T3T1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
Megasphaera_elsdenii_DSM_20460,1,2,1,2,2,2,0,2,0,2,0,2,1,1
Parabacteroides_distasonis_ATCC_8503,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Parabacteroides_johnsonii_DSM_18315,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Phascolarctobacterium_succinatutens_YIT_12067,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Prevotella_ruminicola_23,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Roseburia_intestinalis_L1_82,0,2,0,2,2,2,0,2,0,2,0,2,0,0
Roseburia_inulinivorans_DSM_16841,1,2,1,2,2,2,1,2,0,2,0,2,1,1
Ruminococcus_torques_ATCC_27756,1,0,1,0,0,0,1,0,0,0,0,0,1,1
Shigella_flexneri_2002017,1,0,1,0,0,0,0,0,2,0,2,0,1,1
Streptococcus_salivarius_JIM8777,1,0,1,0,0,0,1,0,0,0,0,0,1,1
Subdoligranulum_variabile_DSM_15176,0,2,0,2,2,2,0,2,0,2,0,2,0,0
Veillonella_atypica_ACS_049_V_Sch6,1,0,1,0,0,0,0,0,0,0,0,0,1,1
